"word1","word2","n"
"coronavirus","outbreak",1817
"wuhan","coronavirus",698
"death","toll",523
"china","coronavirus",421
"deadly","coronavirus",277
"world","news",235
"coronavirus","china",220
"wuhan","china",202
"amid","coronavirus",201
"chinese","city",185
"hong","kong",185
"coronavirus","death",170
"pneumonia","caused",160
"2019","ncov",158
"live","updates",158
"amp","utm_source",157
"twitter","echobox",157
"utm_source","twitter",157
"mainland","china",146
"health","emergency",140
"toll","rises",135
"2020","jan",134
"amp","utm_medium",134
"coronavirus","spreading",134
"coronavirus","spreads",130
"world","health",130
"coronavirus","2019",126
"hubei","province",119
"million","people",119
"health","officials",118
"china's","wuhan",112
"public","health",112
"china","confirms",111
"coronavirus","pneumonia",110
"china","reports",109
"health","authorities",107
"news","coronavirus",103
"health","organization",100
"coronavirus","fears",94
"news","agency",93
"china","virus",90
"india","news",89
"china's","coronavirus",88
"www.theguardian.com","science",87
"follow","live",85
"news","china",85
"outbreak","spreads",84
"xi","jinping",83
"cmp","twt_gu",82
"respiratory","illness",82
"twt_gu","amp",82
"utm_medium","amp",82
"wuhan","amid",79
"china’s","coronavirus",78
"virus","outbreak",77
"social","amp",75
"utm_medium","social",75
"11","million",74
"pneumonia","outbreak",74
"president","xi",74
"south","korea",74
"bed","hospital",73
"ndtv","24x7",69
"chinese","coronavirus",68
"global","health",68
"amp","cmp",67
"autofeed","amp",67
"utm_term","autofeed",67
"coronavirusoutbreak","coronavirus",64
"health","commission",64
"wuhan","virus",63
"travel","restrictions",62
"17","people",61
"agency","afp",60
"coronavirus","coronavirus",59
"disease","control",58
"live","news",58
"1,000","bed",57
"chinese","health",57
"coronavirus","related",57
"news","wuhan",57
"related","pneumonia",57
"breaking","news",56
"toll","climbs",56
"deadly","infectious",54
"human","transmission",54
"science","2020",54
"outbreak","china",53
"cmp","twt_b",52
"gdnnews","amp",52
"national","health",52
"twt_b","gdnnews",52
"central","china",50
"china","travel",49
"china's","hubei",49
"chinese","authorities",49
"medical","staff",49
"coronavirus","continues",48
"newly","discovered",48
"coronavirus","rises",47
"foreign","office",47
"25","deaths",46
"china","death",46
"chinese","krait",46
"essential","travel",46
"travel","warning",46
"41","people",45
"china","amid",45
"sars","treatment",45
"treatment","model",45
"chinese","government",44
"coronavirus","news",44
"international","concern",44
"sky","news",44
"coronavirus","patients",43
"health","official",43
"spreading","coronavirus",43
"chinese","cobra",42
"coronavirus","patient",42
"discovered","coronavirus",42
"infectious","respiratory",42
"killed","17",42
"original","source",42
"coronavirus","scare",41
"coronavirus","spread",41
"li","keqiang",41
"premier","li",41
"25","people",40
"health","minister",40
"outbreak","coronavirus",40
"wuhan","live",40
"coronavirus","deaths",39
"coronavirus","epidemic",39
"china","due",38
"coronavirus","confirmed",38
"wild","animals",38
