"date","username","to","replies","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"2020-01-27 02:37:00","CDCgov",NA,106,775,779,"CDC confirms 3 new cases of novel #coronavirus (#2019nCoV) infection in the U.S., 1 in AZ &amp; 2 in CA, bringing total to 5. All US cases travelled from Wuhan, China. More cases may be identified. However, risk to US general public is still considered low. https://bit.ly/2Gd1R07",NA,NA,"#coronavirus #2019nCoV",1221623107397595136,"https://twitter.com/CDCgov/status/1221623107397595137"
"2020-01-21 20:57:06","CDCgov",NA,117,1278,1120,"The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to Wuhan, China. Additional cases in travelers have been reported in Thailand, Japan, and The Republic of Korea. https://www.cdc.gov/coronavirus/2019-nCoV/summary.html",NA,NA,"#coronavirus",1219725632906694656,"https://twitter.com/CDCgov/status/1219725632906694663"
"2020-01-20 17:07:07","CDCgov",NA,27,330,431,"CDC is closely monitoring an outbreak of 2019 novel #coronavirus in Wuhan, China. Get the latest updates from CDC for Travelers to and from Wuhan, China State &amp; local health departments Healthcare providers Laboratorians The interested public https://cdc.gov/novelcoronavirus",NA,NA,"#coronavirus",1219305363956215808,"https://twitter.com/CDCgov/status/1219305363956215808"
"2020-01-18 03:06:45","CDCgov",NA,12,239,237,"CDC has updated information about an outbreak of novel #coronavirus in China with cases exported to Thailand and Japan. See new information for healthcare providers and laboratorians on who to test and what specimens to take to detect #2019-nCoV. https://bit.ly/2NyUyUo",NA,NA,"#coronavirus",1218369105415364608,"https://twitter.com/CDCgov/status/1218369105415364610"
"2020-01-17 19:22:37","CDCgov",NA,34,385,371,"In response to an outbreak in China caused by a novel (new) coronavirus, CDC will begin health screenings of travelers arriving from #Wuhan, China at 3 US airports. https://bit.ly/2v13H1J #novelcoronavirus #2019nCoV",NA,NA,"#Wuhan #novelcoronavirus #2019nCoV",1218252301263155200,"https://twitter.com/CDCgov/status/1218252301263155203"
"2020-01-11 18:52:07","CDCgov",NA,14,207,228,"A new coronavirus may be the cause of a pneumonia outbreak being investigated in China. CDC is closely monitoring the situation &amp; has stood up emergency response system in case it’s needed. Learn more: https://bit.ly/2FIrzJn",NA,NA,"",1216070299877330944,"https://twitter.com/CDCgov/status/1216070299877330945"
"2020-01-24 19:31:30","NIH","",3,32,45,"#NIH officials say advances in tech since SARS outbreak have greatly compressed the vaccine development timeline. A candidate vaccine for the novel #coronavirus could be ready for early-stage human testing in as little as three months. Learn more: ",NA,NA,"#NIH #coronavirus",1220791254037827584,"https://twitter.com/NIH/status/1220791254037827584"
"2020-01-20 17:07:07","CDCgov","",27,330,431,"CDC is closely monitoring an outbreak of 2019 novel #coronavirus in Wuhan, China. Get the latest updates from CDC for Travelers to and from Wuhan, China State &amp; local health departments Healthcare providers Laboratorians The interested public https://cdc.gov/novelcoronavirus",NA,NA,"#coronavirus",1219305363956215808,"https://twitter.com/CDCgov/status/1219305363956215808"
"2020-01-18 03:06:45","CDCgov","",12,239,237,"CDC has updated information about an outbreak of novel #coronavirus in China with cases exported to Thailand and Japan. See new information for healthcare providers and laboratorians on who to test and what specimens to take to detect #2019-nCoV. https://bit.ly/2NyUyUo",NA,NA,"#coronavirus",1218369105415364608,"https://twitter.com/CDCgov/status/1218369105415364610"
"2020-01-17 19:22:37","CDCgov","",34,385,371,"In response to an outbreak in China caused by a novel (new) coronavirus, CDC will begin health screenings of travelers arriving from #Wuhan, China at 3 US airports. https://bit.ly/2v13H1J #novelcoronavirus #2019nCoV",NA,NA,"#Wuhan #novelcoronavirus #2019nCoV",1218252301263155200,"https://twitter.com/CDCgov/status/1218252301263155203"
