segWords,Freq
CDC,70
coronavirus,68
nCoV,62
China,54
bit,49
outbreak,33
US,33
Wuhan,33
health,28
public,25
cdc,18
gov,18
infection,15
Learn,14
novelcoronavirus,13
travelers,13
providers,12
response,12
spread,12
closely,11
Japan,11
low,11
monitoring,11
person,11
risk,11
See,11
Thailand,11
confirms,10
GdR,10
html,10
reported,10
human,9
arriving,8
considered,8
Coronavirus,8
Novel,8
screenings,8
travel,8
vaccine,8
vHJ,8
airports,7
caused,7
continues,7
detected,7
identified,7
In,7
situation,7
updated,7
AZ,6
bringing,6
CA,6
departments,6
detect,6
emergency,6
exported,6
Get,6
healthcare,6
Healthcare,6
However,6
laboratorians,6
Laboratorians,6
local,6
measures,6
More,6
NyUyUo,6
specimens,6
State,6
summary,6
test,6
total,6
Travelers,6
travelled,6
updates,6
Additional,5
emerging,5
Everyone,5
evolving,5
FIrzJn,5
investigated,5
Korea,5
pneumonia,5
rapidly,5
Republic,5
RnJxHK,5
States,5
stood,5
symptoms,5
system,5
traveled,5
United,5
virus,5
advances,4
aggressive,4
Americans,4
answers,4
Arizona,4
California,4
candidate,4
coming,4
compressed,4
confirmed,4
days,4
development,4
expects,4
FAQ,4
frequently,4
FuTF,4
greatly,4
investigation,4
learn,4
monitor,4
months,4
NIH,4
officials,4
ongoing,4
press,4
protect,4
questions,4
Read,4
ready,4
Recommendations,4
respond,4
RsJsl,4
SARS,4
stage,4
statement,4
tech,4
testing,4
threat,4
timeline,4
While,4
agency,3
American,3
Asia,3
concern,3
Currently,3
evidence,3
imported,3
level,3
limited,3
raises,3
remains,3
RGmDu,3
support,3
time,3
zivBu,3
han,2
Jan,2
providing,2
respiratory,2
alerting,1
approach,1
asp,1
breath,1
check,1
clinicians,1
considers,1
Cough,1
current,1
daily,1
Fever,1
For,1
guidance,1
Health,1
If,1
illnesses,1
including,1
introduction,1
layered,1
mild,1
nCOV,1
partners,1
precautions,1
preparedness,1
preparing,1
prevent,1
proactively,1
reduce,1
returned,1
severe,1
Shortness,1
sickness,1
simple,1
slow,1
These,1
traveler,1
ve,1
watch,1
zjnYo,1
