"date","username","to","replies","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"2020-01-28 17:14:44","WHO","",26,78,193,"WHO is continually monitoring the new #coronavirus (2019-nC0V) developments and @DrTedros can reconvene the International Health Regulations Emergency Committee on very short notice as needed. Committee members are on stand-by and are informed regularly of developments.",NA,"@DrTedros","#coronavirus",1222206387033264128,"https://twitter.com/WHO/status/1222206387033264128"
"2020-01-28 17:00:24","WHO","",21,141,237,"Both WHO and #China noted that the number of cases being reported, including those outside , is deeply concerning. Better understanding of the transmissibility and severity of the new #coronavirus is urgently required to guide other countries on appropriate response measures. ",NA,"","#China #coronavirus",1222202780510838784,"https://twitter.com/WHO/status/1222202780510838784"
"2020-01-28 16:59:42","WHO","",10,102,161,"WHO and #China agreed that WHO will send international experts to visit as soon as possible to work with Chinese counterparts on increasing understanding of the new #coronavirus (2019-nCoV) outbreak to guide global response efforts. http://bit.ly/2O69bPw",NA,"","#China #coronavirus",1222202603154608128,"https://twitter.com/WHO/status/1222202603154608129"
"2020-01-28 16:46:00","WHO","",127,354,723,"WHO Director-General @DrTedros today met President Xi Jinping of #China in Beijing. They shared the latest information on the new #coronavirus (2019-nCoV) outbreak and reiterated their commitment to bring it under control. http://bit.ly/2O69bPw",NA,"@DrTedros","#China #coronavirus",1222199153473806336,"https://twitter.com/WHO/status/1222199153473806341"
"2020-01-27 22:53:23","WHO","",81,659,710,"Important perspective from today's #coronavirus report: Of the 2,798 confirmed cases reported to @WHO so far, 98% are in China. Of the 37 cases outside China, 36 had travel history to Wuhan or other cities in China. http://bit.ly/2U0II9K",NA,"@WHO","#coronavirus",1221929221804756992,"https://twitter.com/WHO/status/1221929221804756992"
"2020-01-25 23:27:40","WHO","",408,4943,4391,"WHO’s risk assessment of the new #coronavirus (2019-nCoV) situation has not changed: very high in #China high at the regional level moderate at the global level WHO’s situation report 25 January 2020 http://bit.ly/2TVLKMr",NA,"","#coronavirus #China",1221213073652043776,"https://twitter.com/WHO/status/1221213073652043776"
"2020-01-23 18:34:41","WHO","",5,90,142,"""This [new #coronavirus] outbreak was detected because #China had put in place a system specifically to pick up severe lower respiratory infections. It was that system that caught this event""-@DrTedros",NA,"@DrTedros","#coronavirus #China",1220414566674374656,"https://twitter.com/WHO/status/1220414566674374656"
"2020-01-23 18:34:07","WHO","",61,110,183,"""Once again, I’d like to thank the Government of #China for its cooperation &amp; transparency. The government has been successful in isolating &amp; sequencing the virus very quickly &amp; has shared that genetic sequence with WHO &amp; the international community""-@DrTedros on new #coronavirus",NA,"@DrTedros","#China #coronavirus",1220414423522738176,"https://twitter.com/WHO/status/1220414423522738181"
"2020-01-23 18:31:46","WHO","",6,106,135,"""It is likely that we will see more cases in other parts of #China &amp; other countries. has taken measures it believes appropriate to contain the spread of coronavirus in Wuhan &amp; other cities. We hope that they will be both effective and short in their duration""-@DrTedros",NA,"@DrTedros","#China",1220413831840702464,"https://twitter.com/WHO/status/1220413831840702464"
"2020-01-23 18:31:15","WHO","",5,94,127,"""WHO is working with our partners night and day in #China and the other affected countries, at the regional level and here at headquarters to fill the gaps in our knowledge as quickly as possible""-@DrTedros on new #coronavirus",NA,"@DrTedros","#China #coronavirus",1220413703163654144,"https://twitter.com/WHO/status/1220413703163654144"
"2020-01-23 18:29:19","WHO","",20,282,259,"""584 cases have now been reported to WHO, including 17 deaths. 575 of those cases & all of the deaths have been reported in #China, with other cases reported in Japan, the Republic of Korea, Singapore, Thailand, the United States of America &amp; Vietnam""-@DrTedros on #coronavirus",NA,"@DrTedros","#China #coronavirus",1220413214187540480,"https://twitter.com/WHO/status/1220413214187540488"
"2020-01-23 18:28:55","WHO","",67,822,537,"""Make no mistake. This is an emergency in #China, but it has not yet become a global health emergency. WHO’s risk assessment is that the outbreak is a very high risk in China, and a high risk regionally and globally""-@DrTedros on new #coronavirus",NA,"@DrTedros","#China #coronavirus",1220413117001322496,"https://twitter.com/WHO/status/1220413117001322497"
"2020-01-23 18:25:57","WHO","WHO",8,174,211,"The mission would review and support efforts to investigate: the animal source of the new #coronavirus (2019-nCoV) outbreak the extent of person-to-person transmission the screening efforts in other provinces of #China ",NA,"","#coronavirus #China",1220412369911853056,"https://twitter.com/WHO/status/1220412369911853056"
"2020-01-22 19:56:48","WHO","",6,52,129,"""Our team in #China working with local experts and officials to investigate the outbreak""-@DrTedros on new #coronavirus",NA,"@DrTedros","#China #coronavirus",1220072844186570752,"https://twitter.com/WHO/status/1220072844186570754"
"2020-01-22 19:54:22","WHO","",13,79,210,"""I was very impressed by the detail and depth of #China’s presentation. I also appreciate the cooperation of China’s Minister of Health, who I have spoken with directly during the last few days and weeks""-@DrTedros new #coronavirus",NA,"@DrTedros","#China #coronavirus",1220072233214844928,"https://twitter.com/WHO/status/1220072233214844928"
