"word1","word2","n"
"coronavirus","2019",350
"2019","ncov",342
"wuhan","china",88
"emergency","committee",87
"january","2020",63
"human","transmission",49
"public","health",43
"health","regulations",42
"international","health",42
"2019","nc0v",35
"interim","guidance",35
"regulations","emergency",34
"ncov","outbreak",33
"situation","report",30
"chinese","authorities",29
"health","emergency",26
"coronavirus","infection",24
"international","concern",24
"coronavirus","protect",22
"respiratory","symptoms",22
"alcohol","based",20
"health","care",18
"technical","documents",18
"acute","respiratory",17
"ncov","infection",15
"report","26",15
"severe","acute",15
"outbreak","constitutes",13
"seafood","market",13
"26","january",12
"based","handrub",12
"international","travel",12
"pneumonia","caused",12
"recently","returned",12
"stay","healthy",12
"traveller","recently",12
"visibly","dirty",12
"close","contact",11
"continue","preparedness",11
"infection","prevention",11
"ongoing","investigations",11
"preparedness","activities",11
"20","january",10
"38wcv4w","coronavirus",10
"animal","source",10
"avoid","close",10
"continue","intensive",10
"coronavirus","outbreak",10
"environmental","investigations",10
"including","environmental",10
"intensive","surveillance",10
"measures","including",10
"people","sick",10
"respiratory","syndrome",10
"seek","medical",10
"2sgvozk","coronavirus",9
"respiratory","infections",9
"response","measures",9
"severe","disease",9
"amp","nose",8
"based","hand",8
"clean","hands",8
"control","measures",8
"fever","cough",8
"flexed","elbow",8
"genetic","sequences",8
"medical","care",8
"mouth","amp",8
"president","xi",8
"raw","meat",8
"respiratory","illness",8
"risk","assessment",8
"share","information",8
"sick","people",8
"situation","reports",8
"travel","history",8
"who¡¯s","risk",8
"1","january",7
"genome","sequences",7
"global","level",7
"highly","suggestive",7
"issued","advice",7
"medical","conditions",7
"outbreak","drtedros",7
"practise","foodsafety",7
"real","time",7
"regional","level",7
"support","efforts",7
"12","january",6
"13","january",6
"20","30",6
"2020","republic",6
"28","january",6
"40","60",6
"animal","reservoirs",6
"authorities","commitment",6
"authorities","continue",6
"avoid","touching",6
"basis","prior",6
"bin","immediately",6
"china","national",6
"china","seafood",6
"cleanser","coronavirus",6
"clinical","care",6
"clinical","data",6
"clinical","features",6
"clinical","management",6
"closed","bin",6
"committee","meeting",6
"completely","cover",6
"coronavirus","practise",6
"coronavirus","travel",6
"coronavirus","wash",6
"detailed","information",6
"didier","houssin",6
"difficulty","breathing",6
"dirty","wash",6
"disease","caused",6
"dr","didier",6
"eyes","nose",6
"fresh","market",6
"guidance","clinical",6
"guidance","laboratory",6
"hand","cleanser",6
"handling","raw",6
"health","authorities",6
"health","commission",6
"health","labour",6
"health","measures",6
"health","pr_moph",6
"huanan","south",6
"human","suspected",6
"increased","searching",6
"information","regularly",6
"intermediate","hosts",6
"investigations","conducted",6
"japanese","ministry",6
"korea","reported",6
"lab","confirmed",6
"laboratory","testing",6
"live","farm",6
"live","press",6
"local","fresh",6
"measures","implemented",6
"national","authorities",6
"national","health",6
"nc0v","outbreak",6
"ncov","continue",6
"ncov","identified",6
"ncov","papers",6
"patient","reported",6
"person","transmission",6
"pr_moph","reported",6
"practice","foodsafety",6
"preliminary","investigations",6
"press","conference",6
"previously","identified",6
"reconvene","tomorrow",6
"regular","basis",6
"report","28",6
"report","visiting",6
"respiratory","infection",6
"running","water",6
"short","notice",6
"sick","completely",6
"sick","coronavirus",6
"sneezing","coronavirus",6
"south","china",6
"specific","treatment",6
"thailand¡¯s","ministry",6
"unitedstates","reported",6
"wash","hands",6
"welfare","mhlwitter",6
"wuhan","beijing",6
"41","confirmed",5
"active","monitoring",5
"centers","managing",5
"china","agreed",5
"chinese","counterparts",5
"clinical","picture",5
"close","contacts",5
"comprehensive","information",5
"countermeasures","implemented",5
"countries","manage",5
"draft","list",5
"epidemiology","clinical",5
"global","response",5
"global","travel",5
"guidance","infection",5
"guidance","surveillance",5
"guide","global",5
"health","centers",5
"human","infection",5
"increasing","understanding",5
"international","experts",5
"limited","human",5
"met","president",5
"ncov","outbreak¡¯s",5
"outbreak¡¯s","epidemiology",5
"patterns","additional",5
"picture","source",5
"primary","source",5
"proposing","studies",5
"response","efforts",5
"risk","factors",5
"screening","efforts",5
"send","international",5
"source","modes",5
"transmission","occurring",5
"transmission","risk",5
"travel","patterns",5
"underlying","medical",5
"understand","transmission",5
"xi","jinping",5
"2,798","confirmed",4
"2020","list",4
"21","january",4
"22","january",4
"25","january",4
"2i4vobd","coronavirus",4
"2ribq2x","note",4
"2uoeirx","haiyang050504",4
"3ayajpz","data",4
"amp","knives",4
"amp","sneezing",4
"amp","water",4
"analysis","undertaken",4
"analyzing","data",4
"animal","products",4
"animal","waste",4
"animals","coronavirus",4
"authorities","laboratories",4
"avoid","contact",4
"avoiding","unprotected",4
"boards","amp",4
"breathing","coronavirus",4
"care","provider",4
"centres","maintain",4
"china","36",4
"china","amp",4
"chopping","boards",4
"clearer","picture",4
"common","cold",4
"concern","pheic",4
"considerable","resources",4
"constantly","analyzing",4
"continue","sharing",4
"control","infection",4
"cooked","food",4
"coronavirus","incl",4
"coronavirus","reduce",4
"coronavirus","report",4
"coronavirus","represents",4
"coronavirus","throw",4
"coughing","amp",4
"cover","amp",4
"definitive","conclusions",4
"develop","specific",4
"diagnostic","detection",4
"diagnostic","kits",4
"disease","outbreak",4
"disease","severity",4
"draw","definitive",4
"duration","drtedros",4
"east","respiratory",4
"emergency","who¡¯s",4
"entry","screening",4
"event","drtedros",4
"experiencing","fever",4
"food","coronavirus",4
"foods","wash",4
"gisaid","platform",4
"global","health",4
"global","networks",4
"globally","drtedros",4
"handling","animals",4
"health","centres",4
"health","outcomes",4
"identify","people",4
"ihr","emergency",4
"illness","ranging",4
"information","sharing",4
"information","speedy",4
"investigation","bylijing",4
"investigation","m_ferreiradvm",4
"investigation","mattrbo",4
"investigation","onisillos",4
"investigation","preliminary",4
"kits","quickly",4
"level","moderate",4
"level","who¡¯s",4
"li","jing",4
"local","experts",4
"lower","respiratory",4
"meat","amp",4
"middle","east",4
"ncov","21",4
"ncov","continues",4
"ncov","meets",4
"ncov","situation",4
"one¡¯s","eyes",4
"outbreak","news",4
"patients","control",4
"people","test",4
"pheic","drtedros",4
"pneumonia","due",4
"positive","impact",4
"prepare","food",4
"prevent","spread",4
"provided","advice",4
"provider","coronavirus",4
"providing","information",4
"quickly","identify",4
"reduce","risk",4
"remains","unknown",4
"report","25",4
"requiring","considerable",4
"risk","regionally",4
