segWords,Freq
coronavirus,631
nCoV,345
WHO,296
bit,253
China,214
Wuhan,118
human,109
outbreak,104
Committee,97
transmission,95
DrTedros,88
Emergency,87
health,82
infection,71
Health,65
January,63
countries,62
reported,60
sick,56
virus,54
guidance,53
care,52
respiratory,50
international,49
measures,48
patients,48
authorities,47
evidence,47
concern,44
public,43
International,42
Regulations,42
hands,41
travel,41
interim,38
people,36
symptoms,36
nCV,35
risk,35
situation,35
source,35
water,35
Chinese,34
investigations,33
emergency,32
However,32
severe,32
continue,31
animals,30
identified,30
NhdF,30
clinical,29
Thailand,29
based,28
disease,28
confirmed,27
global,27
advice,26
animal,26
efforts,26
control,25
response,25
NEW,24
pneumonia,24
Protect,24
contact,23
Hi,23
including,23
investigation,23
TaaWOH,23
Avoid,22
market,22
person,22
Situation,22
suspected,22
report,21
sgvOZK,21
specific,21
time,21
alcohol,20
coughing,20
infected,20
requires,20
sneezing,20
identify,19
illness,19
meeting,19
On,19
Report,19
caused,18
documents,18
experts,18
handrub,18
manage,18
range,18
recommendations,18
share,18
testing,18
trade,18
medical,17
ongoing,17
prevention,17
soap,17
spread,17
wash,17
ascertain,16
close,16
dirty,16
fever,16
follow,16
mouth,16
nose,16
preparedness,16
reports,16
studies,16
These,16
tissue,16
Use,16
Wash,16
commitment,15
data,15
detected,15
For,15
meat,15
prevent,15
review,15
sequences,15
shared,15
surveillance,15
Technical,15
treatment,15
uHt,15
YREzW,15
extent,14
history,14
If,14
informed,14
level,14
patient,14
protect,14
tMEBmu,14
touching,14
understand,14
ZdgMI,14
acute,13
closed,13
constitutes,13
coronaviruses,13
issued,13
monitoring,13
officials,13
received,13
treat,13
BREAKING,12
Clinical,12
cough,12
days,12
Director,12
General,12
healthy,12
Korea,12
MERS,12
Ministry,12
publication,12
raw,12
reconvene,12
relation,12
Republic,12
returned,12
searching,12
sharing,12
Some,12
supplies,12
traveller,12
travelling,12
visibly,12
visiting,12
activities,11
agreed,11
assessment,11
Beijing,11
confirmation,11
containment,11
food,11
humans,11
implemented,11
investigate,11
More,11
regional,11
screening,11
advisers,10
ayAJpZ,10
caring,10
committee,10
cover,10
detect,10
don,10
effective,10
environmental,10
handling,10
intensive,10
LIVE,10
local,10
mission,10
ObPw,10
PHEIC,10
RGMfHz,10
RjJugm,10
severity,10
short,10
support,10
There,10
wcVw,10
antibiotics,9
cities,9
common,9
conditions,9
cooked,9
developments,9
essential,9
FoodSafety,9
globally,9
h,9
ill,9
infections,9
laboratories,9
moment,9
national,9
networks,9
notice,9
papers,9
patterns,9
pets,9
picture,9
recommend,9
regularly,9
resources,9
SARS,9
topics,9
undertaken,9
breathing,8
cold,8
day,8
decision,8
elbow,8
flexed,8
guide,8
hand,8
Houssin,8
incl,8
inform,8
list,8
live,8
management,8
Matt,8
modes,8
Of,8
prepare,8
President,8
Public,8
reduce,8
required,8
Respiratory,8
respond,8
Stay,8
Syndrome,8
