date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-01-26 19:29:43,AP,,26,178,214,"A fourth case of a new pneumonia-like virus has been confirmed in the U.S., health officials in Los Angeles County say. The patient recently returned from from Wuhan City, China, the epicenter of an outbreak that has killed dozens. ",,,,1221515580001439745,https://twitter.com/AP/status/1221515580001439745
2020-01-26 16:17:11,ABC,,18,51,53,"WATCH: @ABC is On Location after a patient in California was found to be the third person in the U.S. to be diagnosed with the new pneumonia-like coronavirus from China, according to health officials. https://abcn.ws/2ROKjgc",,@ABC,,1221467127619694593,https://twitter.com/ABC/status/1221467127619694593
2020-01-26 09:19:27,AP,,50,311,325,"A patient in Southern California is the third person in the U.S. to be diagnosed with the new pneumonia-like virus from China, health officials say. http://apne.ws/PB2yV4e",,,,1221361999407390725,https://twitter.com/AP/status/1221361999407390725
2020-01-24 15:54:53,AP,,48,355,552,"A Chicago woman who visited China is the second U.S. patient diagnosed with the new pneumonia-like virus, health officials say. She is hospitalized and doing well. ",,,,1220736739616206852,https://twitter.com/AP/status/1220736739616206852
2020-01-24 05:54:06,CNN,,52,140,360,"Authorities in China are reportedly planning to build a dedicated pneumonia hospital in Wuhan to help treat the hundreds of people affected by the deadly coronavirus -- in just six days ",,,,1220585546474565635,https://twitter.com/CNN/status/1220585546474565635
2020-01-23 08:30:16,FinancialTimes,,1,12,24,"James Kynge: The outbreak of viral pneumonia in China might seem like mere bad luck. But allegations of official incompetence and cover-ups are threatening to besmirch the Communist party’s image ",,,,1220262459157745664,https://twitter.com/FinancialTimes/status/1220262459157745664
2020-01-21 12:10:33,BreakingNews,,40,299,311,"Number of cases of deadly new coronavirus climbed to close to 300 in China on Tuesday, as health authorities in Asia and around the world stepped up screenings at transport hubs in an effort to stem the spread of the pneumonia-like disease. ",,,,1219593120419061762,https://twitter.com/BreakingNews/status/1219593120419061762
2020-01-20 16:09:15,AP,,19,180,125,"A new coronavirus that has infected several hundred people in China is transmitted from person to person, health officials have confirmed. That could make the viral pneumonia spread more quickly and widely. ",,,,1219290802628722688,https://twitter.com/AP/status/1219290802628722688
2020-01-20 11:04:56,CNN,,20,160,225,"There has been a third death and 139 new cases of pneumonia caused by a new strain of coronavirus, China reports ",,,,1219214218647547904,https://twitter.com/CNN/status/1219214218647547904
2020-01-20 02:57:03,CNN,,64,716,719,"China has reported 139 new cases of pneumonia caused by a new strain of coronavirus, including a third death, as the outbreak spreads beyond the city of Wuhan, where the virus was first identified https://cnn.it/2v5uJ8a",,,,1219091441533755392,https://twitter.com/CNN/status/1219091441533755392
2020-01-19 12:01:45,ABC,,17,63,86,"China reports 17 new cases in viral pneumonia outbreak. ",,,,1218866129659211776,https://twitter.com/ABC/status/1218866129659211776
2020-01-19 07:01:09,AP,,25,212,198,"Seventeen more people in central China have been diagnosed with a new form of viral pneumonia that has killed two patients and placed other countries on alert. http://apne.ws/93VDB5W",,,,1218790479715807232,https://twitter.com/AP/status/1218790479715807232
2020-01-17 08:31:02,AP,,4,77,72,"Chinese health authorities say a second person has died from a new coronavirus that has caused an outbreak of pneumonia in central China, @yananw reports.",,@yananw,,1218088327217328128,https://twitter.com/AP/status/1218088327217328128
2020-01-16 07:01:06,AP,,13,128,133,"Japan's government says a man treated for pneumonia after returning from China has tested positive for the new coronavirus identified as a possible cause of an outbreak in the Chinese city of Wuhan, @mariyamaguchi writes.",,@mariyamaguchi,,1217703304614031360,https://twitter.com/AP/status/1217703304614031360
2020-01-14 12:55:31,BBCWorld,,18,143,181,"Wuhan pneumonia outbreak: First case reported outside China ",,,,1217067721671745536,https://twitter.com/BBCWorld/status/1217067721671745536
2020-01-11 07:12:00,ndtv,,1,8,45,"China reports first death from mystery pneumonia, new virus suspected https://www.ndtv.com/world-news/1-dies-in-new-sudden-acute-respiratory-syndrome-virus-linked-china-pneumonia-outbreak-2162301",,,,1215894107672862720,https://twitter.com/ndtv/status/1215894107672862720
2020-01-10 06:29:04,ABC,,23,70,73,"Chinese authorities think they've identified a new coronavirus—a member of the family of viruses that caused SARS and MERS—that could be behind the mysterious pneumonia cases in Central China, WHO says. ",,,,1215520917109006336,https://twitter.com/ABC/status/1215520917109006336
2020-01-10 01:44:20,ndtv,,1,5,18,"UN health body says new virus may have caused China pneumonia outbreak. https://www.ndtv.com/world-news/who-says-new-coronavirus-may-have-caused-china-pneumonia-outbreak-2161625",,,,1215449262072324096,https://twitter.com/ndtv/status/1215449262072324096
2020-01-09 11:43:51,guardiannews,,0,20,22,"China pneumonia outbreak may be caused by Sars-type virus: WHO ",,,,1215237744663900160,https://twitter.com/guardiannews/status/1215237744663900160
2020-01-09 09:37:58,AP,,1,34,38,"#APExplains: The pathogen behind China's pneumonia outbreak. ",,,#APExplains,1215206065974976512,https://twitter.com/AP/status/1215206065974976512
2020-01-09 08:09:28,ndtv,,1,5,25,"WHO says new virus may have caused China pneumonia outbreak. https://www.ndtv.com/world-news/world-health-organization-says-new-virus-may-have-caused-china-pneumonia-outbreak-2161218",,,,1215183795046895616,https://twitter.com/ndtv/status/1215183795046895616
2020-01-09 05:57:05,CNN,,47,483,553,"Scientists say that a mysterious pneumonia outbreak in China is from the same family of viruses as the deadly severe acute respiratory syndrome (SARS) ",,,,1215150481753956352,https://twitter.com/CNN/status/1215150481753956352
2020-01-09 05:16:07,AP,,20,127,125,"A preliminary investigation into viral pneumonia illnesses sickening dozens of people in and around China identifies the possible cause as a new type of coronavirus, state media says. ",,,,1215140169675833344,https://twitter.com/AP/status/1215140169675833344
2020-01-09 00:49:33,guardian,,5,38,37,"China pneumonia outbreak may be caused by Sars-type virus: WHO ",,,,1215073087529668608,https://twitter.com/guardian/status/1215073087529668608
2020-01-07 10:38:22,ndtv,,1,3,17,"US warns citizens in China over mystery pneumonia outbreak. https://www.ndtv.com/world-news/us-warns-citizens-in-china-over-mystery-pneumonia-outbreak-2160091",,,,1214496493299568640,https://twitter.com/ndtv/status/1214496493299568640
2020-01-07 06:30:06,nytimes,,53,188,362,"Beijing is racing to identify a mysterious pneumonia-like illness that has sickened 59 people in China with no clear cause ",,,,1214434011294175232,https://twitter.com/nytimes/status/1214434011294175232
2020-01-06 15:01:11,Independent,,4,18,13,"Asia on high alert amid fears mystery pneumonia virus in China could spread ",,,,1214200242494754816,https://twitter.com/Independent/status/1214200242494754816
2020-01-05 15:34:47,BBCWorld,,34,190,308,"China pneumonia: Sars ruled out as dozens fall ill in Wuhan ",,,,1213846310631198735,https://twitter.com/BBCWorld/status/1213846310631198735
2020-01-04 06:36:45,AJEnglish,,1,43,99,"Alarms raised in China as pneumonia outbreak infects dozens https://aje.io/pxsgx",,,,1213348524861149184,https://twitter.com/AJEnglish/status/1213348524861149184
2020-01-04 01:15:37,AJEnglish,,4,55,76,"Alarms raised in China as pneumonia outbreak infects dozens ",,,,1213267706159472640,https://twitter.com/AJEnglish/status/1213267706159472640
2020-01-03 13:31:08,AP,,56,756,717,"Health officials say the number of cases of a new type of viral pneumonia linked to a food market in China has risen to 44, an outbreak awakening fearful memories of the 2002-2003 SARS epidemic. ",,,,1213090416800735232,https://twitter.com/AP/status/1213090416800735232
2020-01-28 17:38:59,XHNews,,13,88,175,"The novel #coronavirus outbreak may reach its peak in one week or around 10 days, says Zhong Nanshan, a renowned Chinese respiratory expert. #pneumonia ",,,#coronavirus #pneumonia,1222212486323228673,https://twitter.com/XHNews/status/1222212486323228673
2020-01-28 12:04:51,XHNews,,24,166,791,"Heartwarming: A man donates large boxes of face masks to policemen on duty in Foshan, China. #pneumonia #coronavirus",,,#pneumonia #coronavirus,1222128402540498944,https://twitter.com/XHNews/status/1222128402540498944
2020-01-28 11:30:37,XHNews,,26,223,508,"Nurses have their long hair cut short before heading to Wuhan to join the fight against the novel #coronavirus outbreak. #pneumonia ",,,#coronavirus #pneumonia,1222119784969658368,https://twitter.com/XHNews/status/1222119784969658368
2020-01-28 10:15:40,XHNews,,10,119,357,"""Return safely, I'll do a year of housework!"" A man shouts at his wife before she departs for Wuhan to join the #coronavirus fight. #pneumonia ",,,#coronavirus #pneumonia,1222100924316995584,https://twitter.com/XHNews/status/1222100924316995584
2020-01-28 07:35:05,XHNews,,8,175,316,"Leishenshan Hospital, the 2nd makeshift hospital to treat #pneumonia patients infected with the novel #coronavirus is being built in central China's Wuhan ",,,#pneumonia #coronavirus,1222060513380704256,https://twitter.com/XHNews/status/1222060513380704256
2020-01-28 06:34:00,XHNews,,4,48,60,"#DailyChinaBriefing on Jan. 28: 1. 4,515 cases of new coronavirus pneumonia confirmed in China http://xhne.ws/MHKqf 2. Chinese premier in Wuhan, demands all-out efforts http://xhne.ws/xm5rN 3. UN appreciates China's effort against novel coronavirus http://xhne.ws/IqNrV",,,#DailyChinaBriefing,1222045140996497408,https://twitter.com/XHNews/status/1222045140996497408
2020-01-28 06:05:14,XHNews,,4,19,62,"Together, we can build a new Great Wall. Round-the-clock production and transportation of protective materials is underway in many areas of China to help fight the outbreak of pneumonia caused by novel coronavirus http://xhne.ws/sT2vt",,,,1222037901971730432,https://twitter.com/XHNews/status/1222037901971730432
