date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-01-25 07:12:09,ABC,,152,677,1326,"Construction has begun on a new hospital being built for patients affected by coronavirus in Wuhan, China. The local authority decided to follow Beijing's SARS treatment model for the hospital, which will have 1,000 beds and be put into use by Feb. 3. https://abcn.ws/37lt8cx",,,,1220967575783387136,https://twitter.com/ABC/status/1220967575783387136
2020-01-25 02:10:07,CNN,,31,111,202,"The Wuhan coronavirus has some people fearing a repeat of the SARS pandemic in 2003 that killed hundreds &amp; wreaked havoc on Hong Kong's economy. A lot has changed, but there's still concern over China's response — and just how transparent Beijing is being. ",,,,1220891567944339457,https://twitter.com/CNN/status/1220891567944339457
2020-01-24 17:04:06,ABC,,146,573,1074,"Construction began for a new hospital being built for patients affected by coronavirus in China's Wuhan City. The local authority decided to follow Beijing's SARS treatment model for the hospital, which will have 1,000 beds and be put into use by Feb. 3. https://abcn.ws/2NUGpkL",,,,1220754158464180224,https://twitter.com/ABC/status/1220754158464180224
2020-01-24 16:50:08,CNN,,27,204,254,"Here's what you need to know about the Wuhan virus and coronaviruses like MERS and SARS - from what they are, to how you can treat them. https://cnn.it/2tEbMcr",,,,1220750643478126593,https://twitter.com/CNN/status/1220750643478126593
2020-01-24 11:24:31,CNN,,20,192,579,"The scientist who helped China fight SARS in 2003 has been tapped to lead a national research team of 14 experts in the fight against Wuhan coronavirus ",,,,1220668701038563328,https://twitter.com/CNN/status/1220668701038563328
2020-01-23 13:00:14,nytimes,,22,228,318,"As China releases details about the 17 people who have died in the Wuhan outbreak, a well-known SARS expert raised an alarm about the virus’s spread, saying he felt “powerless"" and ""very angry"" ",,,,1220330397436993537,https://twitter.com/nytimes/status/1220330397436993537
2020-01-23 04:10:07,FinancialTimes,,2,22,20,"Authorities have shut down transport networks in Wuhan and blocked people from leaving the city at the heart of the outbreak of a deadly Sars-like virus as 100m people in China prepare to travel for the lunar new year ",,,,1220196989704507393,https://twitter.com/FinancialTimes/status/1220196989704507393
2020-01-22 04:01:08,CNN,,46,228,295,"A new Chinese coronavirus, a cousin of the SARS virus, has infected more than 200 people since the outbreak began in Wuhan, China, in December. Scientist Leo Poon, who first decoded the virus, thinks it likely started in an animal and spread to humans. ",,,,1219832341801197568,https://twitter.com/CNN/status/1219832341801197568
2020-01-21 08:16:36,CNN,,69,519,638,"A new Chinese coronavirus, a cousin of the SARS virus, has infected more than 200 people since the outbreak began in Wuhan, China, in December. Scientist Leo Poon, who first decoded the virus, thinks it likely started in an animal and spread to humans. https://cnn.it/2Ga2x6s",,,,1219534246269870083,https://twitter.com/CNN/status/1219534246269870083
2020-01-20 23:20:03,CNN,,48,591,586,"A new Chinese coronavirus, a cousin of the SARS virus, has infected more than 200 people since the outbreak began in Wuhan, China, in December. Scientist Leo Poon, who first decoded the virus, thinks it likely started in an animal and spread to humans. https://cnn.it/30D4kKu",,,,1219399217246064643,https://twitter.com/CNN/status/1219399217246064643
2020-01-20 15:30:00,AJEnglish,,19,401,417,"""The case of SARS is similar to the case in Wuhan."" Three people have died in China from the coronavirus, which has spread to more cities. Read more here: https://aje.io/ysl58",,,,1219280925986418688,https://twitter.com/AJEnglish/status/1219280925986418688
2020-01-16 08:00:12,FinancialTimes,,1,18,18,"The Sars-like coronavirus, which has hospitalised more than 40 people in China, has been identified in a Japanese resident who returned from a trip to Wuhan on January 6 ",,,,1217718178748542978,https://twitter.com/FinancialTimes/status/1217718178748542978
2020-01-05 15:34:47,BBCWorld,,34,190,308,"China pneumonia: Sars ruled out as dozens fall ill in Wuhan ",,,,1213846310631198735,https://twitter.com/BBCWorld/status/1213846310631198735
2020-01-27 21:00:06,WSJ,,5,32,64,"The impact of the Wuhan coronavirus on oil prices may be sharper than that of the SARS outbreak, even if the epidemic is milder ",,,,1221900715146256384,https://twitter.com/WSJ/status/1221900715146256384
2020-01-25 13:13:34,XHNews,,49,424,941,"China's Wuhan will build a second #SARS treatment-model makeshift hospital and put it into use in half a month. #pneumonia #coronavirus",,,#SARS #pneumonia #coronavirus,1221058530259750913,https://twitter.com/XHNews/status/1221058530259750913
2020-01-25 11:34:56,XHNews,,7,76,138,"In 15 days! ! China's Wuhan will build a second SARS treatment-model makeshift hospital with 1,000 beds http://xhne.ws/VongK",,,,1221033708150497283,https://twitter.com/XHNews/status/1221033708150497283
2020-01-25 09:08:28,XHNews,,13,197,352,"China has sent military medics, including professionals who have experience in the fight against SARS or Ebola, to Wuhan to curb the spreading of the novel coronavirus-related pneumonia ",,,,1220996849357807616,https://twitter.com/XHNews/status/1220996849357807616
2020-01-24 11:47:37,XHNews,,50,364,650,"Wuhan is following Beijing's #SARS treatment model, building a special hospital for admitting patients infected in the outbreak of pneumonia caused by novel coronavirus ",,,#SARS,1220674510627713025,https://twitter.com/XHNews/status/1220674510627713025
2020-01-24 10:23:00,TIME,,10,56,122,"The lessons of SARS never really left Hong Kong. Will that help stop an outbreak of the Wuhan coronavirus? ",,,,1220653216934912000,https://twitter.com/TIME/status/1220653216934912000
2020-01-24 08:36:02,Reuters,,27,58,73,"Wuhan virus does not appear to be as deadly as SARS, Singapore PM says https://reut.rs/36onLrR",,,,1220626301163360256,https://twitter.com/Reuters/status/1220626301163360256
2020-01-24 08:34:08,XHNews,,256,2072,5013,"Wuhan will follow Beijing's SARS treatment model to build a special hospital planned to accommodate 1,000 beds. It will be put into use by Feb. 3 http://xhne.ws/06tKv",,,,1220625821951569920,https://twitter.com/XHNews/status/1220625821951569920
2020-01-24 07:03:09,XHNews,,64,497,781,"A race against time! Wuhan follows Beijing's SARS treatment model to build a special hospital in new coronavirus control. The hospital will be put into use by Feb. 3. http://xhne.ws/577X4",,,,1220602924100935680,https://twitter.com/XHNews/status/1220602924100935680
2020-01-24 04:50:40,Reuters,,32,44,64,"Wuhan virus does not appear to be as deadly as SARS, Singapore PM says https://reut.rs/36oRUXO",,,,1220569581716156421,https://twitter.com/Reuters/status/1220569581716156421
2020-01-23 22:00:00,WSJ,,6,38,28,"Wuhan’s coronavirus could hit China’s economy harder than the 2003 SARS epidemic. @WSJheard explains why. #WSJWhatsNow https://on.wsj.com/3avDfNQ",,@WSJheard,#WSJWhatsNow,1220466235780915200,https://twitter.com/WSJ/status/1220466235780915200
