date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-01-28 23:55:16,guardiannews,,1,19,13,"China #coronavirus: evacuation begins of US and Japanese citizens in Wuhan – live updates ",,,#coronavirus,1222307181439176704,https://twitter.com/guardiannews/status/1222307181439176704
2020-01-28 23:55:16,guardian,,7,41,64,"China #coronavirus: evacuation begins of US and Japanese citizens in Wuhan – live updates https://www.theguardian.com/world/live/2020/jan/29/coronavirus-live-updates-china-wuhan-death-toll-cases-symptoms-treatment-evacuation-us-japanese-citizens-latest-news?CMP=twt_gu&amp;utm_medium=&amp;utm_source=Twitter#Echobox=1580255722",,,#coronavirus,1222307181296607232,https://twitter.com/guardian/status/1222307181296607232
2020-01-28 23:22:25,cnnbrk,,65,377,513,"The death toll in mainland China from the Wuhan coronavirus has risen to 131 people, authorities say https://cnn.it/37zrggh",,,,1222298918198923274,https://twitter.com/cnnbrk/status/1222298918198923274
2020-01-28 23:21:01,CNN,,52,132,214,"The death toll related to the Wuhan coronavirus now stands at 131 in mainland China ",,,,1222298564262535169,https://twitter.com/CNN/status/1222298564262535169
2020-01-28 22:33:09,CNN,,26,85,228,"Three patients in Washington, DC, have been tested for the Wuhan coronavirus, of which one tested negative and two are pending results from the CDC, according to DC Health ",,,,1222286517558792197,https://twitter.com/CNN/status/1222286517558792197
2020-01-28 22:23:09,BreakingNews,,9,88,156,"Charter plane with US consulate personnel and private US citizens has departed Wuhan in China. Upon arrival in the US, the passengers will undergo medical screenings for the coronavirus and be quarantined for CDC to allow for health checks - @Abs_NBC",,@Abs_NBC,,1222283999739031552,https://twitter.com/BreakingNews/status/1222283999739031552
2020-01-28 18:00:11,FinancialTimes,,0,10,15,"What is it like to be in Wuhan, the centre of the new coronavirus outbreak, right now? The FT has talked to foreigners living in the Chinese city and many of them feel they have been left in the dark by their own governments on what to do next: https://on.ft.com/2tYNutx",,,,1222217824577499137,https://twitter.com/FinancialTimes/status/1222217824577499137
2020-01-28 17:31:28,HuffPost,,6,22,22,"Experts explain if medical face masks work against illnesses like the Wuhan coronavirus. ",,,,1222210596143321091,https://twitter.com/HuffPost/status/1222210596143321091
2020-01-28 17:25:53,Independent,,3,13,20,"Students under lockdown in Wuhan amid coronavirus outbreak given no chance of escape ",,,,1222209190657232898,https://twitter.com/Independent/status/1222209190657232898
2020-01-28 16:37:48,CNN,,123,516,858,"How to protect yourself from Wuhan coronavirus: - Avoid close contact with anyone showing symptoms of respiratory illness - Cook food thoroughly - Wash your hands - Cover your mouth and nose when you cough or sneeze - Wear a surgical mask ",,,,1222197091293892608,https://twitter.com/CNN/status/1222197091293892608
2020-01-28 15:12:33,France24_en,,1,6,2," Coronavirus: ""The real risk are people who have travelled to Wuhan and return to their countries"" https://f24.my/66TY.t",,,,1222175638510981121,https://twitter.com/France24_en/status/1222175638510981121
2020-01-28 14:14:21,CNN,,43,558,593,"This is how the Wuhan coronavirus affects the body https://cnn.it/2Ua0d7k",,,,1222160991389192192,https://twitter.com/CNN/status/1222160991389192192
2020-01-28 13:17:41,BBCWorld,,24,154,571,"Number of coronavirus cases continues to climb but some in Wuhan are determined to spread cheer ",,,,1222146729115635715,https://twitter.com/BBCWorld/status/1222146729115635715
2020-01-28 12:20:07,CNN,,34,105,240,"The Centers for Disease Control is monitoring for symptoms of the Wuhan coronavirus at 20 US airports, the agency said on its website Monday. ",,,,1222132242849435650,https://twitter.com/CNN/status/1222132242849435650
2020-01-28 12:00:11,CNN,,38,184,238,"The death toll from the Wuhan coronavirus outbreak has now topped 100, with more than 4,500 cases in mainland China. https://cnn.it/36CwA13",,,,1222127227527225344,https://twitter.com/CNN/status/1222127227527225344
2020-01-28 11:18:38,CNN,,83,103,273,"Vendors in small city markets in China often sell wild animals including rodents, yak, snakes and even porcupines. Officials announced that the trading of wild animals would be temporarily suspended, hoping to help contain the Wuhan coronavirus outbreak. ",,,,1222116769927745536,https://twitter.com/CNN/status/1222116769927745536
2020-01-28 11:10:08,CNN,,36,308,398,"The death toll from the Wuhan coronavirus outbreak has now topped 100, with more than 4,500 cases of infection in mainland China. https://cnn.it/38Ml4Sy",,,,1222114631335976960,https://twitter.com/CNN/status/1222114631335976960
2020-01-28 11:05:06,CNN,,35,625,802,"Japan now has six confirmed cases of the Wuhan coronavirus. That includes a man in his 60s, with no history of visiting Wuhan -- the source of the outbreak. It is believed to be the first case of suspected human-to-human transmission in the country. ",,,,1222113363053961216,https://twitter.com/CNN/status/1222113363053961216
2020-01-28 10:50:56,ndtv,,1,5,55,"""Our Embassy is in contact with Chinese government. We are trying to evacuate people, most of whom are students, from #Wuhan city..."": Dr S Jaishankar, External Affairs Minister. (ANI) #coronavirus More on http://ndtv.com and NDTV 24x7",,,#Wuhan #coronavirus,1222109797496967169,https://twitter.com/ndtv/status/1222109797496967169
2020-01-28 10:48:46,CNN,,29,77,239,"The Centers for Disease Control is monitoring for symptoms of the Wuhan coronavirus at 20 US airports https://cnn.it/38Wc3GH",,,,1222109252438962176,https://twitter.com/CNN/status/1222109252438962176
2020-01-28 10:40:05,CNN,,66,172,326,"As the coronavirus spreads, countries around the world are beginning to take action to move citizens from Wuhan. The US, Australia, France, India, South Korea and Japan are all looking into evacuation options: ",,,,1222107070301966336,https://twitter.com/CNN/status/1222107070301966336
2020-01-28 10:18:04,CNN,,26,140,352,"Hong Kong will ""temporarily"" close some of its borders with mainland China in an effort to control the spread of the Wuhan coronavirus, according to Hong Kong's Chief Executive Carrie Lam ",,,,1222101526409371649,https://twitter.com/CNN/status/1222101526409371649
