date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-01-28 22:40:00,CNBC,,1,11,19,"“Our focus is ramping up our production as quickly as possible to meet the demand.” 3M CEO Mike Roman says the company is increasing its production of respiratory protection masks amid the coronavirus outbreak. https://cnb.cx/30ZsOOp",,,,1222288240666791936,https://twitter.com/CNBC/status/1222288240666791936
2020-01-28 22:00:06,FinancialTimes,,1,38,33,"Starbucks has said that it closed more than 2,000 stores in China — cautioning that its annual financial results could be hurt as it grapples with the coronavirus outbreak ",,,,1222278202434969601,https://twitter.com/FinancialTimes/status/1222278202434969601
2020-01-28 21:25:11,Independent,,2,28,26,"Foreign Office puts mainland China on no-go list over coronavirus outbreak ",,,,1222269414759968770,https://twitter.com/Independent/status/1222269414759968770
2020-01-28 20:20:00,CNBC,,3,16,21,"Disney has closed its Shanghai and Hong Kong parks amid the spread of the coronavirus. Here’s how the outbreak could impact the entertainment industry. https://cnb.cx/3aRQpov",,,,1222253008454586371,https://twitter.com/CNBC/status/1222253008454586371
2020-01-28 20:03:16,CNN,,17,71,197,"The UK Foreign Office has upped its travel warning for China, now advising against all but essential travel to mainland China, and against all travel to Hubei province, amid the ongoing coronavirus outbreak ",,,,1222248800263331840,https://twitter.com/CNN/status/1222248800263331840
2020-01-28 19:15:05,CNBC,,4,33,47,"“I think we’re going to have outbreaks here in the U.S. We need to start preparing for that,” former FDA Commissioner Dr. Scott Gottlieb said this morning about the coronavirus. https://cnb.cx/36xiPRA",,,,1222236671313432578,https://twitter.com/CNBC/status/1222236671313432578
2020-01-28 19:00:42,BBCBreaking,,190,641,1366,"UK Foreign Office warns against all but essential travel to mainland China amid coronavirus outbreak ",,,,1222233053877194754,https://twitter.com/BBCBreaking/status/1222233053877194754
2020-01-28 18:57:12,CNBC,,3,11,25,"World Health Organization to send delegation to China to help combat coronavirus outbreak ",,,,1222232173215977472,https://twitter.com/CNBC/status/1222232173215977472
2020-01-28 18:42:15,CNBC,,3,3,7,"LISTEN NOW: The coronavirus outbreak’s impact on casino companies and the U.K. decision to allow Huawei limited access to its 5G networks — these stories and more on the Squawk Pod podcast by @SquawkCNBC. Listen and subscribe here: https://cnb.cx/2RZQj5w",,@SquawkCNBC,,1222228409532801027,https://twitter.com/CNBC/status/1222228409532801027
2020-01-28 18:00:11,FinancialTimes,,0,10,15,"What is it like to be in Wuhan, the centre of the new coronavirus outbreak, right now? The FT has talked to foreigners living in the Chinese city and many of them feel they have been left in the dark by their own governments on what to do next: https://on.ft.com/2tYNutx",,,,1222217824577499137,https://twitter.com/FinancialTimes/status/1222217824577499137
2020-01-28 17:25:53,Independent,,3,13,20,"Students under lockdown in Wuhan amid coronavirus outbreak given no chance of escape ",,,,1222209190657232898,https://twitter.com/Independent/status/1222209190657232898
