date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-01-28 21:00:00,CBCNews,,16,24,21,"Health officials are ""confident"" the first case of novel coronavirus has been found in B.C. https://www.cbc.ca/1.5442971",,,,1222263076990287872,https://twitter.com/CBCNews/status/1222263076990287872
2020-01-28 14:35:06,ABC,,12,107,138,"LATEST: The death toll from the novel coronavirus continues to climb in China as the outbreak spreads, with at least 106 people dead and over 4,500 confirmed cases. ",,,,1222166213075374082,https://twitter.com/ABC/status/1222166213075374082
2020-01-28 09:56:12,ABC,,34,52,102,"The U.S. government is chartering a flight out of Wuhan, China -- the city at the center of the novel coronavirus outbreak -- for U.S. personnel, their families and some U.S. citizens on Wednesday. ",,,,1222096026397552647,https://twitter.com/ABC/status/1222096026397552647
2020-01-28 08:04:30,CNN,,33,126,266,"A student from China, who is currently part of an exchange program at William Penn Charter School in Philadelphia, is being tested for the novel coronavirus, a health official has said ",,,,1222067915228360704,https://twitter.com/CNN/status/1222067915228360704
2020-01-28 04:10:09,ndtv,,3,9,29,"Three persons under observation at isolation ward of Delhi's RML hospital for possible exposure to novel #coronavirus: officials (PTI)",,,#coronavirus,1222008939509731329,https://twitter.com/ndtv/status/1222008939509731329
2020-01-28 00:34:28,ABC,,42,93,112,"The U.S. government is chartering a flight out of Wuhan, China -- the city at the center of the novel coronavirus outbreak -- for U.S. personnel, their families and some U.S. citizens on Wednesday. https://abcn.ws/2RusuUx",,,,1221954662242422785,https://twitter.com/ABC/status/1221954662242422785
2020-01-27 23:02:36,CNN,,17,92,213,"The Canadian government has issued a travel advisory urging citizens to avoid all travel to the Hubei Province of China to limit the spread of a novel coronavirus. The advisory specifically names the cities of Wuhan, Huanggang and Ezhou. ",,,,1221931542144081923,https://twitter.com/CNN/status/1221931542144081923
2020-01-27 20:22:59,CNN,,21,117,232,"JUST IN: The US State Department has raised its travel advisory for China, advising Americans to reconsider travel to the country due to novel coronavirus ",,,,1221891374011887617,https://twitter.com/CNN/status/1221891374011887617
2020-01-27 06:20:02,nytimes,,31,182,345,"The United States has confirmed a third case of the novel coronavirus, after a traveler from China tested positive for the disease in Orange County, California ",,,,1221679237092036609,https://twitter.com/nytimes/status/1221679237092036609
2020-01-26 19:01:00,ABC,,43,196,277,"LATEST: The fourth confirmed case of the novel coronavirus in the U.S. has been reported in Los Angeles County, the Los Angeles County Department of Public Health said. ",,,,1221508352733261825,https://twitter.com/ABC/status/1221508352733261825
2020-01-25 10:35:52,ndtv,,1,2,19,"#NewsAlert | 7 central teams to visit states and designated airports to review preparedness for control of novel #coronavirus: Health Ministry (PTI) #CoronavirusOutbreak #ChinaVirus",,,#NewsAlert #coronavirus #CoronavirusOutbreak #ChinaVirus,1221018846032588802,https://twitter.com/ndtv/status/1221018846032588802
2020-01-25 10:33:26,ndtv,,1,2,19,"Health Ministry says it has operationalised a 24x7 call centre to monitor and answer queries regarding novel #coronavirus: news agency PTI #CoronavirusOutbreak #ChinaVirus",,,#coronavirus #CoronavirusOutbreak #ChinaVirus,1221018229826445312,https://twitter.com/ndtv/status/1221018229826445312
