"segWords","Freq"
"",93186
"coronavirus",7373
"China",5075
"outbreak",2784
"Wuhan",2261
"people",1036
"Coronavirus",1014
"spread",879
"Chinese",874
"virus",778
"confirmed",729
"pneumonia",699
"death",645
"news",641
"city",591
"health",535
"toll",528
"travel",502
"deadly",499
"US",483
"-",428
"ndtv",421
"amid",410
"china",385
"Health",351
"emergency",342
"infected",341
"killed",338
"hospital",331
"live",327
"spreading",322
"global",311
"reports",310
"confirms",293
"spreads",283
"government",268
"fears",262
"cities",261
"officials",261
"updates",261
"reported",259
"lockdown",255
"source",251
"control",248
"UK",247
"SARS",245
"New",241
"wuhan",240
"authorities",239
"country",234
"Here",233
"rises",230
"caused",229
"Beijing",225
"citizens",223
"WHO",217
"Hong",209
"Kong",209
"trib",209
"More",205
"cnn",202
"deaths",202
"CoronavirusOutbreak",201
"patients",197
"public",194
"Hubei",191
"countries",178
"epicenter",178
"symptoms",170
"Twitter",169
"official",168
"Year",167
"nCoV",166
"medical",165
"medium",162
"Japan",161
"Echobox",157
"measures",156
"mainland",154
"markets",150
"response",150
"efforts",148
"hit",147
"CDC",145
"Xi",144
"disease",143
"aje",142
"io",142
"patient",142
"tested",142
"fight",141
"f",136
"CMP",134
"cnb",134
"cx",134
"jan",134
"Lunar",134
"theguardian",134
"twt",134
"illness",133
"respiratory",133
"rt",133
"including",132
"media",132
"France",131
"quarantine",131
"airports",129
"person",129
"strain",128
"abcn",127
"central",127
"World",127
"died",125
"evacuate",124
"human",124
"india",124
"News",121
"prevent",121
"warns",120
"build",119
"hospitals",117
"agency",116
"treatment",116
"epidemic",114
"Thailand",114
"Factbox",112
"center",111
"days",111
"Asia",110
"infection",110
"passengers",110
"stocks",110
"Shanghai",107
"Canada",106
"holiday",106
"curb",105
"Follow",105
"United",105
"ChinaVirus",104
"impact",102
"market",102
"rise",102
"dead",100
"In",100
"sickened",100
"science",99
"State",99
"treat",99
"diagnosed",98
"identified",96
"Organization",95
"week",95
"province",94
"Trump",94
"President",92
"restrictions",91
"close",90
"States",90
"suspected",90
"worried",90
"infectious",88
"Social",88
"flights",87
"Washington",87
"don",86
"masks",86
"screening",86
"staff",86
"Jinping",85
"uk",85
"risen",84
"traveled",84
"Australia",83
"Read",83
"students",83
"Britons",82
"fast",82
"gu",82
"Sunday",82
"warning",81
"hundreds",80
"concern",79
"Monday",79
